index,pos_1_label,pos_2_label
0,0.0,1.0
1,0.0,1.0
2,0.0,1.0
3,0.0,2.0
4,0.0,2.0
5,0.0,2.0
6,0.0,3.0
7,0.0,3.0
8,0.0,3.0
9,0.0,4.0
10,0.0,4.0
11,0.0,4.0
12,0.0,5.0
13,0.0,5.0
14,0.0,5.0
15,0.0,6.0
16,0.0,6.0
17,0.0,6.0
18,0.0,7.0
19,0.0,7.0
20,0.0,7.0
21,0.0,8.0
22,0.0,8.0
23,0.0,8.0
24,0.0,9.0
25,0.0,9.0
26,0.0,9.0
27,0.0,10.0
28,0.0,10.0
29,0.0,10.0
30,0.0,11.0
31,0.0,11.0
32,0.0,11.0
33,0.0,12.0
34,0.0,12.0
35,0.0,12.0
36,0.0,13.0
37,0.0,13.0
38,0.0,13.0
39,0.0,14.0
40,0.0,14.0
41,0.0,14.0
42,0.0,15.0
43,0.0,15.0
44,0.0,15.0
45,1.0,2.0
46,1.0,2.0
47,1.0,2.0
48,1.0,3.0
49,1.0,3.0
50,1.0,3.0
51,1.0,4.0
52,1.0,4.0
53,1.0,4.0
54,1.0,5.0
55,1.0,5.0
56,1.0,5.0
57,1.0,6.0
58,1.0,6.0
59,1.0,6.0
60,1.0,7.0
61,1.0,7.0
62,1.0,7.0
63,1.0,8.0
64,1.0,8.0
65,1.0,8.0
66,1.0,9.0
67,1.0,9.0
68,1.0,9.0
69,1.0,10.0
70,1.0,10.0
71,1.0,10.0
72,1.0,11.0
73,1.0,11.0
74,1.0,11.0
75,1.0,12.0
76,1.0,12.0
77,1.0,12.0
78,1.0,13.0
79,1.0,13.0
80,1.0,13.0
81,1.0,14.0
82,1.0,14.0
83,1.0,14.0
84,1.0,15.0
85,1.0,15.0
86,1.0,15.0
87,2.0,3.0
88,2.0,3.0
89,2.0,3.0
90,2.0,4.0
91,2.0,4.0
92,2.0,4.0
93,2.0,5.0
94,2.0,5.0
95,2.0,5.0
96,2.0,6.0
97,2.0,6.0
98,2.0,6.0
99,2.0,7.0
